GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	sample	COV
34	2921606	817082	17	1.000981	0.001107	aDNA	41.6105225850738
35	2506143	700318	17	1.000164	0.001195	aDNA	41.5765601053145
36	2088773	583797	17	1.000351	0.001309	aDNA	41.5843336471933
37	1692915	472720	17	0.999426	0.001454	aDNA	41.5458816352258
38	1339228	373799	17	0.999	0.001634	aDNA	41.5281729248495
39	1030095	287622	17	0.999371	0.001863	aDNA	41.5435952993791
40	762712	212179	17	0.995689	0.002162	aDNA	41.3905355068773
41	551367	153167	17	0.994274	0.002541	aDNA	41.3317143210028
42	391418	109071	17	0.997356	0.00302	aDNA	41.4598322679041
43	267733	74597	17	0.997244	0.003651	aDNA	41.4551764567253
44	178016	49327	17	0.991762	0.004465	aDNA	41.227291127422
45	115350	32121	17	0.996674	0.005561	aDNA	41.4314817034048
46	74972	20916	17	0.99853	0.006904	aDNA	41.5086351457957
47	47573	13288	17	0.999726	0.008673	aDNA	41.5583525580261
48	29860	8420	17	1.009262	0.010999	aDNA	41.9547616241035
49	19161	5402	17	1.009063	0.013729	aDNA	41.9464892453127
50	11935	3295	17	0.988132	0.017214	aDNA	41.0763929615389
51	7172	1933	17	0.964658	0.021941	aDNA	40.1005848221616
52	4961	1369	17	0.987679	0.026694	aDNA	41.0575618681105
53	3691	1052	17	1.020125	0.031452	aDNA	42.4063337387008
54	2984	810	17	0.971556	0.034137	aDNA	40.3873329070821
55	1836	461	17	0.89869	0.041856	aDNA	37.3583120378708
56	1510	358	17	0.84857	0.044848	aDNA	35.2748365353749
57	1275	293	17	0.822506	0.048051	aDNA	34.1913627624887
58	922	211	17	0.819093	0.056389	aDNA	34.0494852307645
59	641	157	17	0.876644	0.069964	aDNA	36.4418654910228
60	530	122	17	0.823883	0.074591	aDNA	34.2486042981419
61	470	127	17	0.967136	0.085819	aDNA	40.2035946444917
62	415	80	17	0.68996	0.07714	aDNA	28.68145965088
